datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-10-09,20.3684,9968.2393,1.3,9988.607699999999,-8.192662839756615e-05,0.9988607700000001,0.0013990599999995634
1990-10-10,19.2772,9968.2393,1.3,9987.5165,-0.00010924445455984255,0.9987516500000002,0.001508179999999415
1990-10-11,20.186500000000002,9968.2393,1.3,9988.425799999999,9.104365434575712e-05,0.99884258,0.0014172499999995924
1990-10-12,20.550300000000004,9968.2393,1.3,9988.7896,3.642215573163021e-05,0.9988789600000002,0.0013808699999994234
1990-10-15,20.186500000000002,9968.2393,1.3,9988.425799999999,-3.6420829206518235e-05,0.99884258,0.0014172499999995924
1990-10-16,18.1861,9968.2393,1.3,9986.4254,-0.00020027179858506106,0.9986425400000001,0.0016172899999995494
1990-10-17,19.2772,9968.2393,1.3,9987.5165,0.00010925831379049455,0.9987516499999999,0.001508179999999748
1990-10-18,20.7321,9968.2393,1.3,9988.971399999999,0.00014567184945324385,0.9988971399999999,0.0013626899999997777
1990-10-19,0.0,9987.6714,2.6,9987.6714,-0.00013014353009355162,0.9987671399999999,0.0014926899999997412
1990-10-22,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-23,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-24,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-25,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-26,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-29,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-30,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-10-31,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-01,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-02,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-05,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-06,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-07,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-08,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-09,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-12,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-13,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-14,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-15,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-16,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-19,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-20,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-21,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-23,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-26,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-27,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-28,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-29,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-11-30,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-03,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-04,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-05,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-06,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-07,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
